category,title,name,size_chart,size_fit,size_fit,material_care,specification,price,product_links
Home/Home Furnishing/Unisex Home Furnishing/Lamps Lanterns And Lamp Shades/VarEesha Lamps Lanterns And Lamp Shades>More By VarEesha,VarEesha,Green Printed Terracotta Slim Tea Light Diya Lantern With Hanging Option,,"Dimensions: 
Lantern 1 :8.89 cm x 8.89 cm x 20.32 cm","Dimensions: 
Lantern 1 :8.89 cm x 8.89 cm x 20.32 cm",Material - Terracotta ; Care - Wipe gently without scrubbing,"Type: Lantern, Utility: Ceiling, Shape: Cylinder",Rs. 749,https://www.myntra.com/lamps-lanterns-and-lamp-shades/vareesha/vareesha-green-printed-hanging-ceiling-lantern/6960985/buy
Home/Footwear/Men Footwear/Formal Shoes/Franco Leone Formal Shoes>More By Franco Leone,Franco Leone,Men Coffee Brown Textured Leather Derbys,"6
Rs. 2401, 7
Rs. 1293, 8
Rs. 1293, 9, 10
Rs. 1293","Leather
Use a branded leather conditioner to clean the product
Avoid washing","Leather
Use a branded leather conditioner to clean the product
Avoid washing",,"Type: Derbys, Fastening: Lace-Ups, Toe Shape: Square Toe, Pattern: Textured, Ankle Height: Regular, Sole Material: PU, Warranty: 3 months",Rs. 1293,https://www.myntra.com/formal-shoes/franco-leone/franco-leone-men-coffee-brown-textured-leather-derbys/2002249/buy
Home/Clothing/Girls Clothing/Track Pants/Cherokee Track Pants>More By Cherokee,Cherokee,Girls Blue Solid Regular-Fit Trackpant,,"Cotton blend
Machine wash","Cotton blend
Machine wash",,"Fabric: Cotton, Fit: Straight Fit, Occasion: Casual, Type: Regular, Wash Care: Machine Wash, Length: Regular",Rs. 499,https://www.myntra.com/track-pants/cherokee/cherokee-girls-blue-solid-regular-fit-trackpant/8935891/buy
Home/Accessories/Men Accessories/Sunglasses/Fastrack Sunglasses>More By Fastrack,Fastrack,Men Square Sunglasses NBC087BK3,M,"Plastic and metal
Remove dust and grime by gently wiping the lens with a cloth","Plastic and metal
Remove dust and grime by gently wiping the lens with a cloth",,"Type: Square Sunglasses, Lens Colour: Purple, Feature: UV Protected Lens, Style: Full Rim, Frame Colour: Green, Face Shape: Oval, Case: Soft Pouch, Warranty: 1 year",Rs. 1839,https://www.myntra.com/sunglasses/fastrack/fastrack-men-square-sunglasses-nbc087bk3/6538807/buy
Home/Personal Care/Women Personal Care/Perfume And Body Mist/GUESS Perfume And Body Mist>More By GUESS,GUESS,Women 1981 Indigo Eau de Toilette 100 ml,100ML,100 ml,100 ml,,"Fragrance: Woody, Strength: Mild, Type: Perfume",Rs. 2394,https://www.myntra.com/perfume-and-body-mist/guess/guess-women-1981-indigo-eau-de-toilette-100-ml/10266601/buy
Home/Home Furnishing/Unisex Kids Home Furnishing/Bath Rugs/Saral Home Bath Rugs>More By Saral Home,Saral Home,Kids Red & Yellow Printed Microfibre Anti-Skid Bath Rug,Onesize,"Dimension:
Length: 70 cm
Width: 55 cm","Dimension:
Length: 70 cm
Width: 55 cm","Microfibre
No bleach normal water wash.
Don't rub at the time of wash.","Set Size: 1, Material: Microfibre",Rs. 649,https://www.myntra.com/bath-rugs/saral-home/saral-home-kids-red--yellow-printed-microfibre-anti-skid-bath-rug/9961181/buy
Home/Home Furnishing/Unisex Home Furnishing/Lamps Lanterns And Lamp Shades/Grated Ginger Lamps Lanterns And Lamp Shades>More By Grated Ginger,Grated Ginger,Red Solid Handcrafted Table Top Lamp Shade,Onesize,Dimensions:38.1cmx38.1cmx27.9cm(HeightxWidthxDepth),Dimensions:38.1cmx38.1cmx27.9cm(HeightxWidthxDepth),"Fabric
Wipe with a clean, dry cloth to remove dust","Material: Fabric, Type: Lamp Shade, Utility: Table, Add-Ons: Adjustable Cord, Bulb Holder Type: E27, Shape: Geometric, Shade Material: Fabric, Switch Mechanism: Toggle Button",Rs. 1700,https://www.myntra.com/lamps-lanterns-and-lamp-shades/grated-ginger/grated-ginger-red-solid-handcrafted-table-top-lamp-shade/11537094/buy
Home/Clothing/Women Clothing/Kurta Sets/Varanga Kurta Sets>More By Varanga,Varanga,Women Off-White & Rust Orange Printed Kurta with Trousers,,"The model (height 5'8"") is wearing a size S","The model (height 5'8"") is wearing a size S","Top fabric: Pure cotton
Bottom fabric: Viscose rayon
Hand-wash","Sleeve Length: Three-Quarter Sleeves, Top Shape: Straight, Top Type: Kurta, Bottom Type: Trousers, Top Pattern: Printed, Top Design Styling: Regular, Top Hemline: Straight, Top Length: Calf Length",Rs. 3399,https://www.myntra.com/kurta-sets/varanga/varanga-women-off-white--rust-orange-printed-kurta-with-trousers/10666618/buy
Home/Footwear/Men Footwear/Formal Shoes/FAUSTO Formal Shoes>More By FAUSTO,FAUSTO,Fausto Men Black Formal Leather Slip-Ons,"6, 7, 8, 9, 10","Leather
Use Shoes bags to prevent any stains or mildew
Dust any dry dirt from the surface using a clean cloth; do not use polish or shiner","Leather
Use Shoes bags to prevent any stains or mildew
Dust any dry dirt from the surface using a clean cloth; do not use polish or shiner",,"Type: Slip-On Shoes, Fastening: Slip-On, Toe Shape: Pointed Toe, Pattern: Solid, Ankle Height: Regular, Sole Material: TPR",Rs. 1234,https://www.myntra.com/formal-shoes/fausto/fausto-men-black-formal-leather-slip-ons/9476025/buy
Home/Clothing/Women Clothing/Tunics/Libas Tunics>More By Libas,Libas,Women Black Solid High-Low Tunic,"XS
Rs. 479, S, M
Rs. 479, L
Rs. 1599, XL, XXL",The model (height 5'8'') is wearing a size S,The model (height 5'8'') is wearing a size S,"Poly Georgette 
Hand-wash","Fabric: Polyester, Pattern: Solid, Neck: Mandarin Collar, Sleeve Length: Three-Quarter Sleeves, Occasion: Casual, Main Trend: New Basics, Wash Care: Hand Wash, Closure: Hook and Eye",Rs. 479,https://www.myntra.com/tunics/libas/libas-women-black-solid-high-low-tunic/7320156/buy
Home/Clothing/Women Clothing/Kurta Sets/Sangria Kurta Sets>More By Sangria,Sangria,Women Blue Solid Kurta with Trousers,,"The model (height 5'8"") is wearing a size S","The model (height 5'8"") is wearing a size S","Top fabric: Pure Cotton
Bottom fabric: Pure Cotton
Hand-wash","Sleeve Length: Three-Quarter Sleeves, Top Shape: Straight, Top Type: Kurta, Bottom Type: Trousers, Top Pattern: Solid, Top Design Styling: Regular, Top Hemline: Straight, Top Length: Calf Length",Rs. 1499,https://www.myntra.com/kurta-sets/sangria/sangria-women-blue-solid-kurta-with-trousers/3326094/buy
Home/Clothing/Women Clothing/Tights/Reebok Tights>More By Reebok,Reebok,Women Grey Printed Studio Combat Lux Bold Tights,"XS, S, M, L, XL",The model (height 5'8'') is wearing a size S,The model (height 5'8'') is wearing a size S,"83% polyester and 17% elastane
Machine-wash","Fabric: Polyester, Fabric 2: Elastane, Transparency: Opaque, Pattern: Printed, Wash Care: Machine Wash",Rs. 2199,https://www.myntra.com/tights/reebok/reebok-women-grey-printed-studio-combat-lux-bold-tights/8973585/buy
Home/Clothing/Unisex Kids Clothing/Sweaters/H&M Sweaters>More By H&M,H&M,Kids Beige Solid Wool-Blend Cardigan,,"50% Polyester, 50% Wool
Hand Wash","50% Polyester, 50% Wool
Hand Wash",,"Fabric: Polyester, Pattern: Solid, Sleeve Length: Long Sleeves, Neck: Hood, Occasion: Casual, Closure: Button, Type: Cardigan, Print or Pattern Type: Solid",Rs. 3499,https://www.myntra.com/sweaters/hm/hm-kids-beige-solid-wool-blend-cardigan/10945716/buy
Home/Clothing/Men Clothing/Track Pants/Soul Space Track Pants>More By Soul Space,Soul Space,Men Black Solid Straight-Fit Yoga Joggers,,"Relaxed-Fit
The model (height 6') is wearing a size M","Relaxed-Fit
The model (height 6') is wearing a size M","95% Organic Cotton, 5% Spandex
Preshrunk and Bio-washed
Machine-Wash","Fabric: Cotton, Fit: Straight Fit, Fabric 2: Elastane, Occasion: Sports, Type: Joggers, Wash Care: Machine Wash, Length: Regular, Number of Pockets: 2",Rs. 2499,https://www.myntra.com/track-pants/soul-space/soul-space-men-black-solid-straight-fit-yoga-joggers/10976296/buy
Home/Clothing/Men Clothing/Track Pants/ADIDAS Track Pants>More By ADIDAS,ADIDAS,Men Blue WO PA Climacool WV Solid Training Joggers,,"Mid-rise
The model (height 6') is wearing a size M","Mid-rise
The model (height 6') is wearing a size M","100% polyester
Machine-wash cold","Fabric: Polyester, Fit: Straight Fit, Occasion: Sports, Type: Joggers, Wash Care: Machine Wash, Length: Regular",Rs. 2999,https://www.myntra.com/track-pants/adidas/adidas-men-blue-wo-pa-climacool-wv-solid-training-joggers/3888782/buy
Home/Clothing/Women Clothing/Palazzos/Melange By Lifestyle Palazzos>More By Melange By Lifestyle,Melange by Lifestyle,Women Off-White Wide Leg Solid Palazzos,,"The model (height 5'8"") is wearing a size 28","The model (height 5'8"") is wearing a size 28","100% Viscose
Machine-wash","Occasion: Western, Fit: Wide Leg, Length: Regular, Pattern: Solid, Print or Pattern Type: Solid, Transparency: Opaque, Closure: Slip-On, Waistband: Partially Elasticated",Rs. 799,https://www.myntra.com/palazzos/melange-by-lifestyle/melange-by-lifestyle-women-off-white-wide-leg-solid-palazzos/9197855/buy
Home/Clothing/Men Clothing/Sweaters/COBB Sweaters>More By COBB,COBB,Men Navy Blue Self Design Pullover Sweater,,The model (height 6') is wearing a size M,The model (height 6') is wearing a size M,"Material: Acrylic
Machine Wash","Fabric: Acrylic, Pattern: Self Design, Sleeve Length: Long Sleeves, Neck: V-Neck, Occasion: Casual, Type: Pullover, Print or Pattern Type: Geometric, Wash Care: Machine Wash",Rs. 2499,https://www.myntra.com/sweaters/cobb/cobb-men-navy-blue-self-design-pullover-sweater/11354282/buy
Home/Clothing/Boys Clothing/Sweaters/Pantaloons Junior Sweaters>More By Pantaloons Junior,Pantaloons Junior,Boys Navy Blue Self Design Pullover,,"100% Cotton
Machine Wash","100% Cotton
Machine Wash",,"Fabric: Cotton, Pattern: Self Design, Sleeve Length: Long Sleeves, Neck: Round Neck, Occasion: Casual, Type: Pullover, Print or Pattern Type: Solid, Surface Styling: Applique",Rs. 799,https://www.myntra.com/sweaters/pantaloons-junior/pantaloons-junior-boys-navy-blue-self-design-pullover-/11389264/buy
Home/Clothing/Women Clothing/Kurta Sets/Yufta Kurta Sets>More By Yufta,Yufta,Women Mint Green & Pink Embroidered Kurta with Sharara,"S, M, L, XL, XXL","The model (height 5'8"") is wearing a size S","The model (height 5'8"") is wearing a size S","Top fabric: Polyester
Bottom fabric: Viscose Rayon
Dry-clean","Sleeve Length: Three-Quarter Sleeves, Top Shape: Straight, Top Type: Kurta, Bottom Type: Sharara, Top Pattern: Embroidered, Top Design Styling: Regular, Top Hemline: Straight, Top Length: Knee Length",Rs. 1379,https://www.myntra.com/kurta-sets/yufta/yufta-women-mint-green--pink-embroidered-kurta-with-sharara/10883636/buy
Home/Clothing/Men Clothing/Kurta Sets/DEYANN Kurta Sets>More By DEYANN,DEYANN,Men Black & Cream Solid Kurta with Pyjamas & Printed Nehru Jacket,"S, M, L, XL, XXL, 3XL",The model (height 6') is wearing a size M,The model (height 6') is wearing a size M,"Nehru jacket: 40% linen, 60% cotton
Kurta and pyjamas: dupion silk
Dry-clean","Sleeve Length: Long Sleeves, Top Shape: Straight, Top Type: Kurta, Bottom Type: Pyjamas, Top Pattern: Printed, Top Design Styling: Regular, Top Hemline: Straight, Top Length: Knee Length",Rs. 2995,https://www.myntra.com/kurta-sets/deyann/deyann-men-black--cream-solid-kurta-with-pyjamas--printed-nehru-jacket/5965158/buy
Home/Clothing/Girls Clothing/Kurta Sets/Biba Kurta Sets>More By Biba,Biba,Girls Blue & Pink Embroidered Layered Kurta with Churidar & Dupatta,,"Kurta fabric: Cotton blend
Bottom fabric: Cotton blend
Dupatta fabric: Net
Dry-clean","Kurta fabric: Cotton blend
Bottom fabric: Cotton blend
Dupatta fabric: Net
Dry-clean",,"Sleeve Length: Short Sleeves, Top Shape: A-Line, Top Type: Kurta, Bottom Type: Churidar, Dupatta: With Dupatta, Top Pattern: Embroidered, Top Design Styling: Layered, Top Hemline: Flared",Rs. 3299,https://www.myntra.com/kurta-sets/biba/biba-girls-blue--pink-embroidered-layered-kurta-with-churidar--dupatta/6835029/buy
Home/Clothing/Girls Clothing/Kurta Sets/Tiber Taber Kurta Sets>More By Tiber Taber,Tiber Taber,Girls Red Embroidered Kurta with Dhoti Pants,"0-3M, 3-6M, 6-12M, 1-2Y, 2-3Y, 3-4Y, 4-5Y, 5-6Y, 6-7Y","Top fabric: Pure Cotton
Bottom fabric: Pure Cotton
Hand-wash","Top fabric: Pure Cotton
Bottom fabric: Pure Cotton
Hand-wash",,"Sleeve Length: Long Sleeves, Top Shape: Straight, Top Type: Kurta, Bottom Type: Dhoti Pants, Top Pattern: Embroidered, Top Design Styling: Regular, Top Hemline: Curved, Top Length: Above Knee",Rs. 2990,https://www.myntra.com/kurta-sets/tiber-taber/tiber-taber-girls-red-embroidered-kurta-with-dhoti-pants/11280822/buy
Home/Clothing/Boys Clothing/Kurta Sets/JBN Creation Kurta Sets>More By JBN Creation,JBN Creation,Boys Purple & White Solid Kurta with Churidar,"6-12M, 12-18M, 18-24M, 2-3Y, 3-4Y, 4-5Y, 5-6Y, 6-7Y, 7-8Y, 9-10Y, 11-12Y, 13-14Y","Top fabric: Pure cotton
Bottom fabric: Pure cotton
Dry-clean","Top fabric: Pure cotton
Bottom fabric: Pure cotton
Dry-clean",,"Sleeve Length: Long Sleeves, Top Shape: Straight, Top Type: Kurta, Bottom Type: Churidar, Top Pattern: Solid, Top Design Styling: Regular, Top Hemline: Straight, Top Length: Knee Length",Rs. 899,https://www.myntra.com/kurta-sets/jbn-creation/jbn-creation-boys-purple--white-solid-kurta-with-churidar/9764791/buy
