category,title,name,size_chart,size_fit,size_fit,material_care,specification,price,product_links
Home/Clothing/Boys Clothing/Track Pants/YK Marvel Track Pants>More By YK Marvel,YK Marvel,Boys Blue Melange Captain America Printed Joggers,,"86% Cotton 14% Polyester
Machine Wash","86% Cotton 14% Polyester
Machine Wash",,"Fabric: Cotton, Fit: Straight Fit, Fabric 2: Polyester, Occasion: Casual, Type: Joggers, Wash Care: Machine Wash, Length: Regular, Number of Pockets: 2",Rs. 1099,https://www.myntra.com/track-pants/yk-marvel/-yk-marvel-boys-blue-melange-captain-america-printed-joggers/8376281/buy
Home/Clothing/Women Clothing/Kurta Sets/Jaipur Kurti Kurta Sets>More By Jaipur Kurti,Jaipur Kurti,Women Maroon & Coral Pink Zari Detail Kurta with Trousers & Dupatta,"S, M, L, XL, XXL","The model (height 5'8"") is wearing a size S","The model (height 5'8"") is wearing a size S","Kurta fabric: viscose rayon
Bottom fabric: viscose rayon
Dupatta fabric: silk blend
Dry-clean","Sleeve Length: Three-Quarter Sleeves, Top Shape: A-Line, Top Type: Kurta, Bottom Type: Trousers, Dupatta: With Dupatta, Top Pattern: Solid, Top Design Styling: Panelled, Top Hemline: Flared",Rs. 1988,https://www.myntra.com/kurta-sets/jaipur-kurti/jaipur-kurti-women-maroon--coral-pink-zari-detail-kurta-with-trousers--dupatta/10717954/buy
Home/Clothing/Boys Clothing/Track Pants/SWEET ANGEL Track Pants>More By SWEET ANGEL,SWEET ANGEL,Boys Yellow Printed Straight-Fit Track Pants,"5-6Y, 7-8Y, 8-9Y, 10-11Y, 11-12Y, 13-14Y","100% cotton
Hand-wash","100% cotton
Hand-wash",,"Fabric: Cotton, Fit: Straight Fit, Occasion: Sports, Type: Regular, Wash Care: Hand Wash, Length: Regular",Rs. 584,https://www.myntra.com/track-pants/sweet-angel/sweet-angel-boys-yellow-printed-straight-fit-track-pants/11512152/buy
Home/Personal Care/Unisex Personal Care/Perfume And Body Mist/KAMA AYURVEDA Perfume And Body Mist>More By KAMA AYURVEDA,KAMA AYURVEDA,Sustainable Unisex Pure Mogra Water Face Body Mist 200 ml,,200 ml,200 ml,,"Fragrance: Floral, Strength: Mild, Sustainable: Sustainable, Type: Body Mist",Rs. 1050,https://www.myntra.com/perfume-and-body-mist/kama-ayurveda/kama-ayurveda-unisex-pure-mogra-water-face--body-mist-200-ml/6745585/buy
Home/Clothing/Women Clothing/Shrug/Skidlers Shrug>More By Skidlers,Skidlers,Women Black Cold shoulder Solid Button Shrug,"S, M, L, XL",The model (height 5'8'') is wearing a size S,The model (height 5'8'') is wearing a size S,"Material: Polycotton
Hand Wash","Fabric: Polycotton, Pattern: Solid, Sleeve Length: Three-Quarter Sleeves, Occasion: Casual, Length: Longline, Main Trend: New Basics, Wash Care: Hand Wash, Hemline: Straight",Rs. 459,https://www.myntra.com/shrug/skidlers/skidlers-women-black-cold-shoulder-solid-button-shrug/10941962/buy
Home/Clothing/Men Clothing/Sweaters/H&M Sweaters>More By H&M,H&M,Men Blue Solid Shawl Collar Cardigan,,The model (height 6') is wearing a size M,The model (height 6') is wearing a size M,"100% Cotton
Machine Wash","Fabric: Cotton, Pattern: Solid, Sleeve Length: Long Sleeves, Neck: Shawl Collar, Occasion: Casual, Closure: Button, Type: Cardigan, Print or Pattern Type: Solid",Rs. 2699,https://www.myntra.com/sweaters/hm/hm-men-blue-solid-shawl-collar-cardigan/11082576/buy
Home/Clothing/Girls Clothing/Sweaters/U.S. Polo Assn. Kids Sweaters>More By U.S. Polo Assn. Kids,U.S. Polo Assn. Kids,Girls White & Blue Striped Cardigan,"2-3Y
Rs. 1189, 3-4Y
Rs. 1189, 4-5Y, 6-7Y, 8-9Y, 9-10Y
Rs. 679, 10-11Y, 11-12Y, 13-14Y","Cotton
Hand-wash","Cotton
Hand-wash",,"Fabric: Cotton, Pattern: Striped, Sleeve Length: Long Sleeves, Neck: Round Neck, Occasion: Casual, Closure: Button, Type: Cardigan, Print or Pattern Type: Striped",Rs. 1189,https://www.myntra.com/sweaters/us-polo-assn-kids/us-polo-assn-kids-girls-white--blue-striped-cardigan/7326700/buy
Home/Clothing/Women Clothing/Sweaters/Levis Sweaters>More By Levis,Levis,Women Grey Melange Self Design Pullover,,"The model (height 5'8"") is wearing a size S","The model (height 5'8"") is wearing a size S","Frint: 56% cotton, 385 viscose, 3% metallic fiber, 3% polyester
Back/Sleeves: 58% cotton, 42% viscose
Machine-wash","Fabric: Cotton, Pattern: Self Design, Sleeve Length: Long Sleeves, Neck: Round Neck, Occasion: Casual, Type: Pullover, Print or Pattern Type: Geometric, Wash Care: Machine Wash",Rs. 2799,https://www.myntra.com/sweaters/levis/levis-women-grey-melange-self-design-pullover/2191021/buy
Home/Home Furnishing/Unisex Home Furnishing/Key Holders/ECraftIndia Key Holders>More By ECraftIndia,eCraftIndia,Multicoloured Lord Ganesha Theme Wooden Key Holder,Onesize,"Wood
Wipe with a clean and dry cloth when needed","Wood
Wipe with a clean and dry cloth when needed",,"Material: Wood, Number of Hooks: 4 to 6",Rs. 399,https://www.myntra.com/key-holders/ecraftindia/ecraftindia-multicoloured-lord-ganesha-theme-wooden-key-holder/9961551/buy
Home/Home Furnishing/Unisex Home Furnishing/Lamps Lanterns And Lamp Shades/Aesthetic Home Solutions Lamps Lanterns And Lamp Shades>More By Aesthetic Home Solutions,Aesthetic Home Solutions,Transparent & Yellow Colourblocked Wall or Ceiling String Lights,Onesize,"Dimensions:
Length: 3 meter
Height: 3 cm
Width: 3 cm","Dimensions:
Length: 3 meter
Height: 3 cm
Width: 3 cm","Material:Plastic
Care:Wipe with a clean, wet cloth when needed","Type: String Lights, Utility: Wall, Shape: Circular",Rs. 768,https://www.myntra.com/lamps-lanterns-and-lamp-shades/aesthetic-home-solutions/aesthetic-home-solutions-transparent--yellow-colourblocked-wall-or-ceiling-string-lights/11281738/buy
